,index,gene,filename,thr,angle,assym,tag
0,81,Chordin,Chordin_st.15_20210902_20211005_embryo1_1_expression,50,-9,0.2835276967930029,Chordin_st.15_20210902_20211005_embryo1
1,80,Chordin,Chordin_st.15_20210902_20211005_embryo2_1_expression,29,-10,0.20441676104190265,Chordin_st.15_20210902_20211005_embryo2
2,16,Chordin,Chordin_st.15_20210916_20211005_embryo1_1_expression,50,6,0.12116729424421735,Chordin_st.15_20210916_20211005_embryo1
3,73,Chordin,Chordin_st.15_20210916_20211005_embryo2_1_expression,53,3,0.12795828319294025,Chordin_st.15_20210916_20211005_embryo2
4,50,Chordin,Chordin_st.15_20210916_20211005_embryo3_1_expression,42,0,0.12271090937548912,Chordin_st.15_20210916_20211005_embryo3
5,200,Chordin,Chordin_st.15_20210916_20211005_embryo4_1_expression,55,-10,0.14224280516043664,Chordin_st.15_20210916_20211005_embryo4
6,170,Chordin,Chordin_st.15_20210916_20211005_embryo5_1_expression,53,0,0.22186182289977294,Chordin_st.15_20210916_20211005_embryo5
7,139,Chordin,Chordin_st.15_20210916_20211005_embryo6_1_expression,61,9,0.17327172560867246,Chordin_st.15_20210916_20211005_embryo6
8,59,Chordin,Chordin_st.15_20210916_20211005_embryo7_1_expression,42,9,0.15494904128519604,Chordin_st.15_20210916_20211005_embryo7
9,99,Chordin,Chordin_st.15_20210916_20211005_embryo8_1_expression,51,9,0.21578435459219114,Chordin_st.15_20210916_20211005_embryo8
10,99,Chordin,Chordin_st.15_20210916_20211005_embryo9_1_expression,50,9,0.2314056635960423,Chordin_st.15_20210916_20211005_embryo9
11,199,Nodal,Nodal_st.15_20210919_20211012_embryo1_2_expression,144,9,0.3460403190353577,Nodal_st.15_20210919_20211012_embryo1
12,40,Nodal,Nodal_st.15_20210919_20211012_embryo2_1_expression,42,-10,0.2826062826062826,Nodal_st.15_20210919_20211012_embryo2
13,140,Nodal,Nodal_st.15_20210919_20211012_embryo3_1_expression,55,-10,0.3537163162570328,Nodal_st.15_20210919_20211012_embryo3
14,169,Nodal,Nodal_st.15_20210919_20211012_embryo5_1_expression,57,-1,0.3375537114179814,Nodal_st.15_20210919_20211012_embryo5
15,137,Nodal,Nodal_st.15_20210919_20211012_embryo6_2_expression,151,7,0.19802100900095496,Nodal_st.15_20210919_20211012_embryo6
16,96,Szl,Sizzled_st.15_20210916_20211011_embryo1_1_expression,54,6,0.2331967406151383,Sizzled_st.15_20210916_20211011_embryo1
17,90,Szl,Sizzled_st.15_20210916_20211011_embryo2_3_expression,139,0,0.2503686409437208,Sizzled_st.15_20210916_20211011_embryo2
18,40,Szl,Sizzled_st.15_20210919_20211011_embryo2_1_expression,47,-10,0.25857525441885376,Sizzled_st.15_20210919_20211011_embryo2
19,15,Szl,Sizzled_st.15_20210919_20211011_embryo3_2_expression,140,5,0.2072177713634388,Sizzled_st.15_20210919_20211011_embryo3
20,29,Nodal,ndr2_st.15_2021111_20211112_embryo1_1_expression,23,-1,0.2734358086165837,ndr2_st.15_2021111_20211112_embryo1
21,53,Nodal,ndr2_st.15_2021111_20211112_embryo2_2_expression,81,3,0.30281063207427195,ndr2_st.15_2021111_20211112_embryo2
22,80,Nodal,ndr2_st.15_2021111_20211112_embryo3_2_expression,88,-10,0.3090218672253503,ndr2_st.15_2021111_20211112_embryo3
23,16,Nodal,ndr2_st.15_2021111_20211112_embryo4_2_expression,175,6,0.4115443930381141,ndr2_st.15_2021111_20211112_embryo4
24,7,Nodal,ndr2_st.15_2021111_20211112_embryo5_1_expression,10,-3,0.2943136622594862,ndr2_st.15_2021111_20211112_embryo5
25,42,Nodal,ndr2_st.15_2021111_20211112_embryo6_2_expression,93,-8,0.3519443183537601,ndr2_st.15_2021111_20211112_embryo6
26,195,Nodal,ndr2_st.15_2021111_20211112_embryo7_2_expression,110,5,0.2764699782225448,ndr2_st.15_2021111_20211112_embryo7
27,20,Nodal,ndr2_st.15_2021111_20211112_embryo8_2_expression,75,-10,0.3125739061884115,ndr2_st.15_2021111_20211112_embryo8
28,63,Nodal,ndr2_st.15_2021111_20211112_embryo9_2_expression,108,-7,0.25251474158862297,ndr2_st.15_2021111_20211112_embryo9
